name;z3-runtime;z3-result;cvc5-runtime;cvc5-result;z3-noodler-runtime;z3-noodler-b3b361a-result;z3-noodler-8dd2385-runtime;z3-noodler-8dd2385-result;z3-noodler-6724479-runtime;z3-noodler-6724479-result;z3-noodler-c680fa4-runtime;z3-noodler-c680fa4-result
../formulae/slent/slent_kaluza_497_sink.smt2;0.02; sat;0.02; sat;0.02; sat;0.06; sat;0.06; sat;0.07; sat
../formulae/slent/slent_kaluza_998_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_17552_sink.smt2;0.02; unsat;0.09; unsat;0.79; unsat;0.78; unsat;4.75; unsat;0.35; unsat
../formulae/slent/slent_kaluza_356_sink.smt2;0.01; unsat;0.0; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.02; unsat
../formulae/slent/slent_stranger_str_rep_19253_sink.smt2;0.02; unsat;0.07; unsat;0.8; unsat;0.81; unsat;0.8; unsat;0.94; unsat
../formulae/slent/slent_kaluza_817_sink.smt2;0.01; unsat;0.0; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_kaluza_69_sink.smt2;0.02; sat;0.0; sat;0.03; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_210_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1471_sink.smt2;0.02; sat;0.01; sat;0.03; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_11004_sink.smt2;0.03; sat;0.02; sat;0.02; sat;0.03; sat;0.02; sat;0.03; sat
../formulae/slent/slent_kaluza_1537_sink.smt2;0.01; sat;0.02; sat;0.02; sat;0.07; sat;0.07; sat;0.06; sat
../formulae/slent/slent_kaluza_13_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.01; sat;0.03; sat;0.02; sat
../formulae/slent/slent_kaluza_789_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.01; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_606_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_1251_sink.smt2;0.02; sat;0.0; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_30076_sink.smt2;TO;TO;36.54; sat;0.08; sat;0.11; sat;0.1; sat;0.5; sat
../formulae/slent/slent_stranger_str_rep_29601_sink.smt2;0.14; sat;37.05; sat;0.06; sat;0.05; sat;0.06; sat;0.09; sat
../formulae/slent/slent_kaluza_1317_sink.smt2;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_694_sink.smt2;0.01; sat;0.0; sat;0.01; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_377_sink.smt2;0.01; sat;0.0; sat;0.02; sat;0.02; sat;0.01; sat;0.01; sat
../formulae/slent/slent_kaluza_81_sink.smt2;0.01; sat;0.02; sat;0.02; sat;0.06; sat;0.07; sat;0.07; sat
../formulae/slent/slent_stranger_str_rep_8277_sink.smt2;TO;TO;34.22; sat;0.02; sat;0.03; sat;0.03; sat;0.03; sat
../formulae/slent/slent_kaluza_836_sink.smt2;0.0; unsat;0.0; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_1666_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1385_sink.smt2;0.01; unsat;0.0; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_1499_sink.smt2;0.02; unsat;0.0; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1516_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.03; sat;0.02; sat
../formulae/slent/slent_kaluza_282_sink.smt2;0.02; sat;0.02; sat;0.03; sat;0.07; sat;0.07; sat;0.07; sat
../formulae/slent/slent_kaluza_32_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_stranger_str_rep_29882_sink.smt2;0.03; unsat;0.07; unsat;0.76; unsat;0.77; unsat;0.71; unsat;0.61; unsat
../formulae/slent/slent_kaluza_1877_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.01; sat
../formulae/slent/slent_kaluza_1046_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.03; sat
../formulae/slent/slent_stranger_str_rep_29766_sink.smt2;0.04; unsat;0.09; unsat;7.04; unsat;7.19; unsat;7.05; unsat;2.44; unsat
../formulae/slent/slent_kaluza_1931_sink.smt2;0.01; sat;0.0; sat;0.02; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1322_sink.smt2;0.01; unsat;0.01; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1608_sink.smt2;0.01; unsat;0.0; unsat;0.02; unsat;0.01; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_stranger_str_rep_7172_sink.smt2;0.07; sat;0.03; sat;0.03; sat;0.04; sat;0.03; sat;0.03; sat
../formulae/slent/slent_kaluza_1578_sink.smt2;0.01; sat;0.01; sat;0.01; sat;0.01; sat;0.03; sat;0.01; sat
../formulae/slent/slent_kaluza_1863_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1787_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_21149_sink.smt2;0.49; unsat;19.41; unsat;0.79; unsat;0.79; unsat;2.54; unsat;0.17; unsat
../formulae/slent/slent_kaluza_5_sink.smt2;0.02; unsat;0.0; unsat;0.03; unsat;0.02; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_kaluza_543_sink.smt2;0.02; unsat;0.0; unsat;0.02; unsat;0.02; unsat;0.01; unsat;0.02; unsat
../formulae/slent/slent_kaluza_26_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.01; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_kaluza_775_sink.smt2;0.02; sat;0.0; sat;0.01; sat;0.02; sat;0.03; sat;0.02; sat
../formulae/slent/slent_kaluza_1502_sink.smt2;0.02; unsat;0.0; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1734_sink.smt2;0.01; unsat;0.0; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_stranger_str_rep_30039_sink.smt2;TO;TO;22.81; unsat;8.05; unsat;6.5; unsat;TO;TO;0.2; unsat
../formulae/slent/slent_kaluza_1996_sink.smt2;0.01; unsat;0.01; unsat;TO;TO;0.02; unsat;0.02; sat;0.02; unsat
../formulae/slent/slent_kaluza_95_sink.smt2;0.02; sat;0.02; sat;0.03; sat;0.05; sat;0.06; sat;0.06; sat
../formulae/slent/slent_kaluza_539_sink.smt2;0.01; sat;0.02; sat;0.02; sat;0.05; sat;0.04; sat;0.05; sat
../formulae/slent/slent_kaluza_363_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.01; sat
../formulae/slent/slent_kaluza_680_sink.smt2;0.02; unsat;0.0; unsat;TO;TO;0.01; unsat;0.02; sat;0.02; unsat
../formulae/slent/slent_stranger_str_rep_17688_sink.smt2;TO;TO;19.94; sat;0.05; sat;0.05; sat;0.03; sat;0.06; sat
../formulae/slent/slent_kaluza_759_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.04; sat
../formulae/slent/slent_kaluza_790_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_103_sink.smt2;0.02; sat;0.0; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_335_sink.smt2;0.02; sat;0.0; sat;0.01; sat;0.01; sat;0.02; sat;0.01; sat
../formulae/slent/slent_kaluza_1886_sink.smt2;0.02; sat;0.03; sat;0.02; sat;0.07; sat;0.06; sat;0.07; sat
../formulae/slent/slent_kaluza_1248_sink.smt2;0.02; unsat;0.0; unsat;0.01; unsat;0.01; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1762_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.01; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_29618_sink.smt2;0.02; unsat;0.08; unsat;1.87; unsat;1.86; unsat;5.19; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1624_sink.smt2;0.02; unsat;0.0; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_kaluza_386_sink.smt2;0.02; sat;0.0; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_17916_sink.smt2;0.02; unsat;0.15; unsat;0.79; unsat;0.79; unsat;2.6; unsat;0.22; unsat
../formulae/slent/slent_kaluza_70_sink.smt2;0.02; sat;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_723_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.04; sat;0.06; sat;0.04; sat
../formulae/slent/slent_kaluza_1142_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.01; sat;0.01; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_29348_sink.smt2;TO;TO;16.9; sat;0.02; sat;0.03; sat;0.03; sat;0.02; sat
../formulae/slent/slent_kaluza_1697_sink.smt2;0.02; unsat;0.0; unsat;0.01; unsat;0.01; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1835_sink.smt2;0.01; unsat;0.01; unsat;0.01; unsat;0.03; unsat;0.02; unsat;0.03; unsat
../formulae/slent/slent_kaluza_1226_sink.smt2;0.0; unsat;0.01; unsat;TO;TO;0.02; unsat;0.02; sat;0.03; unsat
../formulae/slent/slent_kaluza_1683_sink.smt2;0.15; sat;3.99; sat;TO;TO;TO;TO;TO;TO;TO;TO
../formulae/slent/slent_kaluza_1360_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1967_sink.smt2;0.01; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_501_sink.smt2;0.01; sat;0.0; sat;0.03; sat;0.03; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_64_sink.smt2;0.01; sat;0.02; sat;0.03; sat;0.07; sat;0.06; sat;0.08; sat
../formulae/slent/slent_kaluza_671_sink.smt2;0.01; sat;0.01; sat;0.03; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_392_sink.smt2;0.02; unsat;0.01; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_stranger_str_rep_20800_sink.smt2;12.35; unsat;TO;TO;6.98; unsat;24.23; unsat;TO;TO;TO;TO
../formulae/slent/slent_stranger_str_rep_29326_sink.smt2;0.01; unsat;0.01; unsat;0.03; unsat;0.03; unsat;0.04; sat;0.02; unsat
../formulae/slent/slent_kaluza_321_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_17525_sink.smt2;0.03; unsat;0.08; unsat;TO;TO;TO;TO;TO;TO;0.66; unsat
../formulae/slent/slent_kaluza_117_sink.smt2;0.01; unsat;0.0; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_kaluza_267_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.01; sat
../formulae/slent/slent_kaluza_784_sink.smt2;0.02; unsat;0.0; unsat;0.01; unsat;0.01; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_stranger_str_rep_17149_sink.smt2;0.02; unsat;0.13; unsat;0.87; unsat;0.85; unsat;6.06; unsat;0.18; unsat
../formulae/slent/slent_stranger_str_rep_19154_sink.smt2;TO;TO;TO;TO;1.77; unsat;1.77; unsat;2.57; unsat;TO;TO
../formulae/slent/slent_kaluza_860_sink.smt2;0.02; sat;0.0; sat;0.01; sat;0.03; sat;0.03; sat;0.01; sat
../formulae/slent/slent_kaluza_1031_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1207_sink.smt2;0.01; sat;0.0; sat;0.01; sat;0.02; sat;0.03; sat;0.03; sat
../formulae/slent/slent_kaluza_1946_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.01; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_kaluza_1494_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_30166_sink.smt2;0.36; unsat;4.07; unsat;2.87; unsat;2.88; unsat;TO;TO;0.37; unsat
../formulae/slent/slent_kaluza_45_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_kaluza_650_sink.smt2;0.0; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_stranger_str_rep_19755_sink.smt2;0.02; unsat;0.07; unsat;2.36; unsat;2.34; unsat;2.11; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1427_sink.smt2;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1082_sink.smt2;0.01; unsat;0.0; unsat;0.02; unsat;0.02; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_stranger_str_rep_17218_sink.smt2;0.02; unsat;0.13; unsat;0.78; unsat;0.78; unsat;55.52; unsat;1.39; unsat
../formulae/slent/slent_kaluza_888_sink.smt2;0.01; sat;0.03; sat;0.03; sat;0.05; sat;0.06; sat;0.07; sat
../formulae/slent/slent_kaluza_855_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_8_sink.smt2;0.01; sat;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_314_sink.smt2;0.02; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1269_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.01; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1096_sink.smt2;0.02; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_1119_sink.smt2;0.02; sat;0.0; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_158_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.03; sat
../formulae/slent/slent_kaluza_191_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.01; sat;0.01; sat;0.02; sat
../formulae/slent/slent_kaluza_472_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_228_sink.smt2;0.02; sat;0.02; sat;0.02; sat;0.07; sat;0.06; sat;0.06; sat
../formulae/slent/slent_kaluza_702_sink.smt2;0.02; unsat;0.0; unsat;0.01; unsat;0.01; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_kaluza_98_sink.smt2;0.02; sat;0.03; sat;0.02; sat;0.06; sat;0.07; sat;0.07; sat
../formulae/slent/slent_kaluza_534_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_51_sink.smt2;0.01; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_1480_sink.smt2;0.01; sat;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_6350_sink.smt2;0.02; unsat;0.06; unsat;0.01; unsat;0.01; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_767_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_34_sink.smt2;0.02; sat;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1937_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.02; sat;0.01; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_20707_sink.smt2;0.7; unsat;25.08; unsat;1.15; unsat;1.08; unsat;3.98; unsat;1.7; unsat
../formulae/slent/slent_kaluza_1106_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1795_sink.smt2;0.02; sat;0.0; sat;0.01; sat;0.03; sat;0.02; sat;0.01; sat
../formulae/slent/slent_kaluza_1871_sink.smt2;0.02; unsat;0.0; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_stranger_str_rep_19332_sink.smt2;0.04; unsat;0.13; unsat;64.04; unsat;64.54; unsat;59.4; unsat;62.28; unsat
../formulae/slent/slent_kaluza_830_sink.smt2;0.01; unsat;0.0; unsat;0.02; unsat;0.02; unsat;0.01; unsat;0.03; unsat
../formulae/slent/slent_kaluza_692_sink.smt2;0.01; sat;0.02; sat;0.02; sat;0.09; sat;0.06; sat;0.07; sat
../formulae/slent/slent_kaluza_371_sink.smt2;0.02; sat;0.0; sat;0.01; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_147_sink.smt2;0.02; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_17575_sink.smt2;TO;TO;0.13; sat;0.05; sat;0.05; sat;0.05; sat;0.05; sat
../formulae/slent/slent_stranger_str_rep_20916_sink.smt2;0.36; unsat;4.32; unsat;0.67; unsat;0.72; unsat;7.8; unsat;0.37; unsat
../formulae/slent/slent_stranger_str_rep_29837_sink.smt2;0.45; unsat;21.91; unsat;0.79; unsat;0.76; unsat;3.94; unsat;0.17; unsat
../formulae/slent/slent_kaluza_1510_sink.smt2;0.02; sat;0.02; sat;0.02; sat;0.06; sat;0.07; sat;0.06; sat
../formulae/slent/slent_stranger_str_rep_20850_sink.smt2;0.03; unsat;0.1; unsat;1.6; unsat;1.58; unsat;1.51; unsat;0.22; unsat
../formulae/slent/slent_kaluza_1660_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1456_sink.smt2;0.01; sat;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.01; sat
../formulae/slent/slent_kaluza_1168_sink.smt2;0.02; unsat;0.0; unsat;0.02; unsat;0.03; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_kaluza_1442_sink.smt2;0.02; unsat;0.0; unsat;0.02; unsat;0.01; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_1674_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_14048_sink.smt2;TO;TO;0.68; sat;0.11; sat;0.09; sat;0.09; sat;0.18; sat
../formulae/slent/slent_kaluza_1732_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_962_sink.smt2;0.02; sat;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.01; sat
../formulae/slent/slent_kaluza_153_sink.smt2;0.02; sat;0.02; sat;0.02; sat;0.06; sat;0.04; sat;0.04; sat
../formulae/slent/slent_kaluza_365_sink.smt2;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_stranger_str_rep_21073_sink.smt2;TO;TO;45.16; sat;0.05; sat;0.06; sat;0.04; sat;0.09; sat
../formulae/slent/slent_kaluza_93_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.03; sat
../formulae/slent/slent_kaluza_824_sink.smt2;0.02; sat;0.01; sat;0.03; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_223_sink.smt2;0.01; unsat;0.0; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1054_sink.smt2;0.02; unsat;0.0; unsat;0.01; unsat;0.01; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_stranger_str_rep_25888_sink.smt2;TO;TO;0.21; sat;0.04; sat;0.04; sat;0.03; sat;0.08; sat
../formulae/slent/slent_kaluza_1112_sink.smt2;0.01; sat;0.0; sat;0.01; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1324_sink.smt2;0.02; sat;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_897_sink.smt2;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_259_sink.smt2;0.02; sat;0.02; sat;0.02; sat;0.06; sat;0.06; sat;0.07; sat
../formulae/slent/slent_kaluza_918_sink.smt2;0.01; unsat;0.0; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_kaluza_403_sink.smt2;0.02; unsat;0.0; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.01; unsat
../formulae/slent/slent_kaluza_129_sink.smt2;0.02; sat;0.02; sat;0.02; sat;0.04; sat;0.05; sat;0.06; sat
../formulae/slent/slent_kaluza_1180_sink.smt2;0.01; unsat;0.0; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_1463_sink.smt2;0.02; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_1149_sink.smt2;0.02; unsat;0.01; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.01; unsat
../formulae/slent/slent_kaluza_344_sink.smt2;0.02; sat;0.0; sat;0.01; sat;0.02; sat;0.02; sat;0.01; sat
../formulae/slent/slent_stranger_str_rep_17892_sink.smt2;0.06; sat;0.11; sat;0.08; sat;0.07; sat;0.06; sat;0.12; sat
../formulae/slent/slent_kaluza_172_sink.smt2;0.01; sat;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_458_sink.smt2;0.02; unsat;0.0; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.03; unsat
../formulae/slent/slent_kaluza_202_sink.smt2;0.01; sat;0.01; sat;0.01; sat;0.02; sat;0.01; sat;0.01; sat
../formulae/slent/slent_kaluza_805_sink.smt2;0.01; sat;0.0; sat;0.02; sat;0.02; sat;0.01; sat;0.02; sat
../formulae/slent/slent_kaluza_1769_sink.smt2;0.01; sat;0.01; sat;0.03; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1243_sink.smt2;0.02; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1075_sink.smt2;0.0; unsat;0.01; unsat;0.02; unsat;0.01; unsat;0.02; unsat;0.02; unsat
../formulae/slent/slent_kaluza_1902_sink.smt2;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_1133_sink.smt2;0.02; sat;0.0; sat;0.03; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_278_sink.smt2;0.01; sat;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_752_sink.smt2;0.01; sat;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.01; sat
../formulae/slent/slent_stranger_str_rep_15962_sink.smt2;0.04; sat;0.05; sat;0.02; sat;0.04; sat;0.03; sat;0.04; sat
../formulae/slent/slent_kaluza_564_sink.smt2;0.02; sat;0.01; sat;0.01; sat;0.02; sat;0.01; sat;0.02; sat
../formulae/slent/slent_kaluza_422_sink.smt2;0.01; sat;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/slent/slent_kaluza_939_sink.smt2;0.01; sat;0.01; sat;0.01; sat;0.02; sat;0.03; sat;0.02; sat
