name;noodler-4cdee77f-runtime;noodler-4cdee77f-version;noodler-4cdee77f-result;noodler-4cdee77f-time;noodler-4cdee77f-min-runtime;noodler-4cdee77f-min-version;noodler-4cdee77f-min-result;noodler-4cdee77f-min-time
../formulae/pyex-hard-z3-enum/smt/eq10011.txt.smt2;1.58; 4cdee77f; unsat; 0.08;1.6; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10012.txt.smt2;1.55; 4cdee77f; unsat; 0.08;1.61; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10013.txt.smt2;TO;TO;TO;TO;1.63; 4cdee77f; sat; 0.18
../formulae/pyex-hard-z3-enum/smt/eq10014.txt.smt2;1.61; 4cdee77f; unsat; 0.1;1.58; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10015.txt.smt2;TO;TO;TO;TO;1.66; 4cdee77f; sat; 0.18
../formulae/pyex-hard-z3-enum/smt/eq10016.txt.smt2;TO;TO;TO;TO;1.62; 4cdee77f; sat; 0.16
../formulae/pyex-hard-z3-enum/smt/eq10017.txt.smt2;TO;TO;TO;TO;1.66; 4cdee77f; sat; 0.18
../formulae/pyex-hard-z3-enum/smt/eq10018.txt.smt2;TO;TO;TO;TO;1.94; 4cdee77f; sat; 0.43
../formulae/pyex-hard-z3-enum/smt/eq10019.txt.smt2;1.61; 4cdee77f; unsat; 0.1;1.61; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq1002.txt.smt2;1.55; 4cdee77f; unsat; 0.09;1.6; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10020.txt.smt2;1.64; 4cdee77f; unsat; 0.1;1.6; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10021.txt.smt2;1.64; 4cdee77f; unsat; 0.1;1.61; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10022.txt.smt2;1.57; 4cdee77f; unsat; 0.1;1.63; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10023.txt.smt2;TO;TO;TO;TO;1.96; 4cdee77f; sat; 0.43
../formulae/pyex-hard-z3-enum/smt/eq10024.txt.smt2;TO;TO;TO;TO;1.87; 4cdee77f; sat; 0.4
../formulae/pyex-hard-z3-enum/smt/eq10025.txt.smt2;TO;TO;TO;TO;1.67; 4cdee77f; sat; 0.18
../formulae/pyex-hard-z3-enum/smt/eq10026.txt.smt2;TO;TO;TO;TO;1.62; 4cdee77f; sat; 0.18
../formulae/pyex-hard-z3-enum/smt/eq10027.txt.smt2;TO;TO;TO;TO;1.95; 4cdee77f; sat; 0.43
../formulae/pyex-hard-z3-enum/smt/eq10028.txt.smt2;1.59; 4cdee77f; unsat; 0.09;1.58; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10029.txt.smt2;1.66; 4cdee77f; unsat; 0.09;1.57; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq1003.txt.smt2;1.6; 4cdee77f; unsat; 0.09;1.6; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10030.txt.smt2;1.58; 4cdee77f; unsat; 0.09;1.57; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10031.txt.smt2;1.68; 4cdee77f; unsat; 0.1;1.66; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10032.txt.smt2;TO;TO;TO;TO;1.66; 4cdee77f; sat; 0.13
../formulae/pyex-hard-z3-enum/smt/eq10033.txt.smt2;TO;TO;TO;TO;1.6; 4cdee77f; sat; 0.13
../formulae/pyex-hard-z3-enum/smt/eq10034.txt.smt2;1.58; 4cdee77f; unsat; 0.09;1.62; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10035.txt.smt2;1.61; 4cdee77f; unsat; 0.09;1.64; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10036.txt.smt2;1.56; 4cdee77f; unsat; 0.09;1.56; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10037.txt.smt2;1.6; 4cdee77f; unsat; 0.09;1.6; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10038.txt.smt2;1.65; 4cdee77f; unsat; 0.1;1.56; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10039.txt.smt2;1.61; 4cdee77f; unsat; 0.09;1.59; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq1004.txt.smt2;1.66; 4cdee77f; unsat; 0.09;1.61; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10040.txt.smt2;1.63; 4cdee77f; unsat; 0.09;1.61; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10041.txt.smt2;1.6; 4cdee77f; unsat; 0.09;1.61; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10042.txt.smt2;1.64; 4cdee77f; unsat; 0.09;1.64; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10043.txt.smt2;1.57; 4cdee77f; unsat; 0.09;1.63; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10044.txt.smt2;1.63; 4cdee77f; unsat; 0.09;1.64; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10045.txt.smt2;1.65; 4cdee77f; unsat; 0.11;1.6; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10046.txt.smt2;1.62; 4cdee77f; unsat; 0.09;1.61; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10047.txt.smt2;1.63; 4cdee77f; unsat; 0.09;1.61; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10048.txt.smt2;1.57; 4cdee77f; unsat; 0.09;1.58; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10049.txt.smt2;1.59; 4cdee77f; unsat; 0.09;1.64; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq1005.txt.smt2;1.6; 4cdee77f; unsat; 0.1;1.6; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10050.txt.smt2;1.63; 4cdee77f; unsat; 0.09;1.59; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10051.txt.smt2;1.63; 4cdee77f; unsat; 0.09;1.68; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10052.txt.smt2;1.64; 4cdee77f; unsat; 0.09;1.63; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10053.txt.smt2;1.63; 4cdee77f; unsat; 0.09;1.65; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10054.txt.smt2;1.57; 4cdee77f; unsat; 0.09;1.6; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10055.txt.smt2;1.58; 4cdee77f; unsat; 0.09;1.61; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10056.txt.smt2;1.62; 4cdee77f; unsat; 0.09;1.64; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10057.txt.smt2;1.57; 4cdee77f; unsat; 0.08;1.59; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10058.txt.smt2;1.57; 4cdee77f; unsat; 0.08;1.61; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10059.txt.smt2;1.69; 4cdee77f; unsat; 0.08;1.67; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq1006.txt.smt2;1.63; 4cdee77f; unsat; 0.11;1.67; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10060.txt.smt2;1.58; 4cdee77f; unsat; 0.08;1.55; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10061.txt.smt2;1.6; 4cdee77f; unsat; 0.08;1.56; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10062.txt.smt2;1.63; 4cdee77f; unsat; 0.08;1.6; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10063.txt.smt2;1.62; 4cdee77f; unsat; 0.07;1.53; 4cdee77f; unsat; 0.07
../formulae/pyex-hard-z3-enum/smt/eq10064.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.57; 4cdee77f; unsat; 0.07
../formulae/pyex-hard-z3-enum/smt/eq10065.txt.smt2;1.6; 4cdee77f; unsat; 0.08;1.61; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10066.txt.smt2;1.57; 4cdee77f; unsat; 0.08;1.59; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10067.txt.smt2;1.57; 4cdee77f; unsat; 0.08;1.56; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10068.txt.smt2;1.6; 4cdee77f; unsat; 0.08;1.57; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10069.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.61; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq1007.txt.smt2;1.57; 4cdee77f; unsat; 0.1;1.61; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10070.txt.smt2;1.55; 4cdee77f; unsat; 0.08;1.62; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10071.txt.smt2;1.62; 4cdee77f; unsat; 0.08;1.58; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10072.txt.smt2;1.59; 4cdee77f; unsat; 0.07;1.6; 4cdee77f; unsat; 0.07
../formulae/pyex-hard-z3-enum/smt/eq10073.txt.smt2;54.73; 4cdee77f; sat; 54.9;1.59; 4cdee77f; sat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10074.txt.smt2;1.57; 4cdee77f; unsat; 0.07;1.54; 4cdee77f; unsat; 0.07
../formulae/pyex-hard-z3-enum/smt/eq10075.txt.smt2;1.6; 4cdee77f; unsat; 0.08;1.57; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10076.txt.smt2;TO;TO;TO;TO;1.62; 4cdee77f; sat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq10077.txt.smt2;1.55; 4cdee77f; unsat; 0.08;1.62; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10078.txt.smt2;1.63; 4cdee77f; unsat; 0.08;1.57; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10079.txt.smt2;1.61; 4cdee77f; unsat; 0.08;1.58; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq1008.txt.smt2;1.61; 4cdee77f; unsat; 0.09;1.57; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10080.txt.smt2;1.57; 4cdee77f; unsat; 0.08;1.55; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10081.txt.smt2;1.63; 4cdee77f; unsat; 0.08;1.54; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10082.txt.smt2;1.65; 4cdee77f; unsat; 0.08;1.6; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10083.txt.smt2;1.56; 4cdee77f; unsat; 0.08;1.63; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10084.txt.smt2;1.64; 4cdee77f; unsat; 0.08;1.58; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10085.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.57; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10086.txt.smt2;1.56; 4cdee77f; unsat; 0.08;1.68; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10087.txt.smt2;1.58; 4cdee77f; unsat; 0.08;1.65; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10088.txt.smt2;1.62; 4cdee77f; unsat; 0.08;1.62; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10089.txt.smt2;1.58; 4cdee77f; unsat; 0.08;1.66; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq1009.txt.smt2;1.66; 4cdee77f; unsat; 0.1;1.62; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10090.txt.smt2;1.58; 4cdee77f; unsat; 0.08;1.63; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10091.txt.smt2;1.6; 4cdee77f; unsat; 0.08;1.6; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10092.txt.smt2;TO;TO;TO;TO;1.68; 4cdee77f; sat; 0.13
../formulae/pyex-hard-z3-enum/smt/eq10093.txt.smt2;1.67; 4cdee77f; unsat; 0.09;1.57; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10094.txt.smt2;1.59; 4cdee77f; unsat; 0.09;1.59; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10095.txt.smt2;1.64; 4cdee77f; unsat; 0.09;1.59; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10096.txt.smt2;1.63; 4cdee77f; unsat; 0.09;1.59; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10097.txt.smt2;1.61; 4cdee77f; unsat; 0.09;1.56; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10098.txt.smt2;1.61; 4cdee77f; unsat; 0.09;1.69; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10099.txt.smt2;1.6; 4cdee77f; unsat; 0.09;1.59; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq101.txt.smt2;48.7; 4cdee77f; sat; 49.22;1.68; 4cdee77f; sat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq1010.txt.smt2;1.62; 4cdee77f; unsat; 0.1;1.59; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10100.txt.smt2;1.59; 4cdee77f; unsat; 0.09;1.6; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10101.txt.smt2;TO;TO;TO;TO;1.66; 4cdee77f; sat; 0.13
../formulae/pyex-hard-z3-enum/smt/eq10102.txt.smt2;1.65; 4cdee77f; unsat; 0.09;1.58; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10103.txt.smt2;1.63; 4cdee77f; unsat; 0.09;1.64; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10104.txt.smt2;1.54; 4cdee77f; unsat; 0.09;1.59; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10105.txt.smt2;1.56; 4cdee77f; unsat; 0.09;1.56; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10106.txt.smt2;1.55; 4cdee77f; unsat; 0.09;1.54; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10107.txt.smt2;1.62; 4cdee77f; unsat; 0.09;1.6; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10108.txt.smt2;1.58; 4cdee77f; unsat; 0.09;1.6; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10109.txt.smt2;1.57; 4cdee77f; unsat; 0.09;1.59; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq1011.txt.smt2;1.62; 4cdee77f; unsat; 0.1;1.6; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10110.txt.smt2;1.53; 4cdee77f; unsat; 0.09;1.56; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10111.txt.smt2;1.68; 4cdee77f; unsat; 0.09;1.59; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10112.txt.smt2;1.53; 4cdee77f; unsat; 0.09;1.58; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10113.txt.smt2;1.57; 4cdee77f; unsat; 0.09;1.63; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10114.txt.smt2;1.65; 4cdee77f; unsat; 0.09;1.57; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10115.txt.smt2;1.58; 4cdee77f; unsat; 0.09;1.58; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10116.txt.smt2;1.64; 4cdee77f; unsat; 0.09;1.64; 4cdee77f; unsat; 0.09
../formulae/pyex-hard-z3-enum/smt/eq10117.txt.smt2;TO;TO;TO;TO;1.84; 4cdee77f; sat; 0.37
../formulae/pyex-hard-z3-enum/smt/eq10118.txt.smt2;TO;TO;TO;TO;1.85; 4cdee77f; sat; 0.36
../formulae/pyex-hard-z3-enum/smt/eq10119.txt.smt2;1.62; 4cdee77f; unsat; 0.12;1.65; 4cdee77f; unsat; 0.12
../formulae/pyex-hard-z3-enum/smt/eq1012.txt.smt2;1.58; 4cdee77f; unsat; 0.09;1.61; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10120.txt.smt2;1.64; 4cdee77f; unsat; 0.12;1.61; 4cdee77f; unsat; 0.12
../formulae/pyex-hard-z3-enum/smt/eq10121.txt.smt2;TO;TO;TO;TO;1.89; 4cdee77f; sat; 0.4
../formulae/pyex-hard-z3-enum/smt/eq10122.txt.smt2;TO;TO;TO;TO;1.87; 4cdee77f; sat; 0.37
../formulae/pyex-hard-z3-enum/smt/eq10123.txt.smt2;TO;TO;TO;TO;1.87; 4cdee77f; sat; 0.37
../formulae/pyex-hard-z3-enum/smt/eq10124.txt.smt2;TO;TO;TO;TO;1.89; 4cdee77f; sat; 0.37
../formulae/pyex-hard-z3-enum/smt/eq10125.txt.smt2;1.62; 4cdee77f; unsat; 0.12;1.65; 4cdee77f; unsat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq10126.txt.smt2;1.61; 4cdee77f; unsat; 0.11;1.59; 4cdee77f; unsat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq10127.txt.smt2;1.58; 4cdee77f; unsat; 0.11;1.65; 4cdee77f; unsat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq10128.txt.smt2;1.65; 4cdee77f; unsat; 0.12;1.61; 4cdee77f; unsat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq10129.txt.smt2;1.61; 4cdee77f; unsat; 0.11;1.6; 4cdee77f; unsat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq1013.txt.smt2;1.6; 4cdee77f; unsat; 0.1;1.59; 4cdee77f; unsat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10130.txt.smt2;1.6; 4cdee77f; unsat; 0.11;1.56; 4cdee77f; unsat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq10131.txt.smt2;1.56; 4cdee77f; unsat; 0.11;1.62; 4cdee77f; unsat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq10132.txt.smt2;1.62; 4cdee77f; unsat; 0.11;1.61; 4cdee77f; unsat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq10133.txt.smt2;TO;TO;TO;TO;1.79; 4cdee77f; sat; 0.31
../formulae/pyex-hard-z3-enum/smt/eq10134.txt.smt2;TO;TO;TO;TO;1.76; 4cdee77f; sat; 0.31
../formulae/pyex-hard-z3-enum/smt/eq10135.txt.smt2;29.32; 4cdee77f; sat; 28.78;1.6; 4cdee77f; sat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10136.txt.smt2;29.88; 4cdee77f; sat; 29.33;1.61; 4cdee77f; sat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10137.txt.smt2;1.62; 4cdee77f; unsat; 0.07;1.57; 4cdee77f; unsat; 0.07
../formulae/pyex-hard-z3-enum/smt/eq10138.txt.smt2;1.62; 4cdee77f; unsat; 0.08;1.6; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10139.txt.smt2;1.55; 4cdee77f; unsat; 0.07;1.6; 4cdee77f; unsat; 0.07
../formulae/pyex-hard-z3-enum/smt/eq1014.txt.smt2;1.56; 4cdee77f; unsat; 0.08;1.66; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10140.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.57; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10141.txt.smt2;1.62; 4cdee77f; unsat; 0.08;1.61; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10142.txt.smt2;1.56; 4cdee77f; unsat; 0.08;1.55; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10143.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.53; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10144.txt.smt2;1.57; 4cdee77f; unsat; 0.07;1.52; 4cdee77f; unsat; 0.07
../formulae/pyex-hard-z3-enum/smt/eq10145.txt.smt2;1.61; 4cdee77f; unsat; 0.08;1.68; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10146.txt.smt2;1.59; 4cdee77f; unsat; 0.07;1.63; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10147.txt.smt2;1.62; 4cdee77f; unsat; 0.08;1.62; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10148.txt.smt2;54.79; 4cdee77f; sat; 55.17;1.58; 4cdee77f; sat; 0.1
../formulae/pyex-hard-z3-enum/smt/eq10149.txt.smt2;1.64; 4cdee77f; unsat; 0.07;1.64; 4cdee77f; unsat; 0.07
../formulae/pyex-hard-z3-enum/smt/eq1015.txt.smt2;1.57; 4cdee77f; unsat; 0.08;1.61; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10150.txt.smt2;1.55; 4cdee77f; unsat; 0.08;1.57; 4cdee77f; unsat; 0.07
../formulae/pyex-hard-z3-enum/smt/eq10151.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.59; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10152.txt.smt2;1.57; 4cdee77f; unsat; 0.08;1.57; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10153.txt.smt2;TO;TO;TO;TO;1.68; 4cdee77f; sat; 0.11
../formulae/pyex-hard-z3-enum/smt/eq10154.txt.smt2;1.6; 4cdee77f; unsat; 0.07;1.54; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10155.txt.smt2;1.57; 4cdee77f; unsat; 0.08;1.63; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10156.txt.smt2;1.52; 4cdee77f; unsat; 0.08;1.62; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10157.txt.smt2;TO;TO;TO;TO;1.61; 4cdee77f; sat; 0.12
../formulae/pyex-hard-z3-enum/smt/eq10158.txt.smt2;1.56; 4cdee77f; unsat; 0.08;1.58; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10159.txt.smt2;1.66; 4cdee77f; unsat; 0.08;1.63; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq1016.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.64; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10160.txt.smt2;1.55; 4cdee77f; unsat; 0.08;1.58; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10161.txt.smt2;1.55; 4cdee77f; unsat; 0.08;1.56; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10162.txt.smt2;1.6; 4cdee77f; unsat; 0.08;1.58; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10163.txt.smt2;1.6; 4cdee77f; unsat; 0.08;1.61; 4cdee77f; unsat; 0.08
../formulae/pyex-hard-z3-enum/smt/eq10164.txt.smt2;1.59; 4cdee77f; unsat; 0.08;1.55; 4cdee77f; unsat; 0.08
